sigla,prcFlcn,closPric,dtTm
INEP4,0.40816326530612246,9.84,17:45:00
INEP3,-1.0204081632653061,9.7,18:05:00
ITLC34,0.5168484453849911,246.99,16:37:00
BICR11,-0.5472550382209868,114.49,18:05:00
ROMI3,-2.96655879180151,17.99,18:09:00
PARD3,-0.0654236179260713,30.55,18:09:00
IBMB34,1.325218068260231,572.68,18:00:00
AVGO34,1.340957596746265,251.66,16:54:00
INTU34,0.2992345163535143,288.26,16:53:00
I1VZ34,2.319236016371078,75,15:29:00
LATR11B,11.11111111111111,1000,16:12:00
MEAL3,-0.3605769230769231,8.29,18:06:00
BTLG11,0,126.9,17:52:00
MYPK3,-0.8827238335435057,23.58,18:07:00
LIGT3,1.9599303135888502,23.41,18:07:00
LIQO1,150.0,0.15,18:05:00
LINX3,1.2606193477665113,36.95,18:07:00
RENT3,0.02074688796680498,48.21,18:09:00
LOFT11B,0.09259259259259259,108.1,17:24:00
OUJP11,0.09928843289756743,120.98,18:00:00
OIBR4,-1.5625,1.26,18:06:00
OIBR3,-1.1111111111111112,0.89,18:13:00
HOOT4,24.916943521594686,3.76,18:05:00
OMGE3,1.7114914425427872,41.6,18:06:00
ODPV3,-0.6956521739130435,17.13,18:06:00
ORCL34,0.9331396628372728,229.31,14:38:00
OSXB3,0,3.26,18:00:00
CEGR3,4.444444444444445,47,14:22:00
HSML11,0.365913156610831,123.43,18:00:00
OFSA3,0.45146726862302483,44.5,18:00:00
HYPE3,-1.2959534514678657,37.32,18:08:00
PCAR4,-1.4428412874583796,88.8,18:07:00
CMIG3,-0.11627906976744186,17.18,18:08:00
CMIG4,-0.6447453255963894,15.41,18:07:00
CEEB3,0,44,10:54:00
CEBR6,8.303249097472925,60,13:48:00
CGAS3,4.166666666666667,250,11:23:00
CEBR3,2.9748283752860414,58.5,16:26:00
CGAS5,-6.796906796906797,229,18:05:00
COCE5,0.23492560689115113,64,18:07:00
FESA3,-9.58860759493671,28.57,13:42:00
CEDO4,5.769230769230769,9.9,17:39:00
FESA4,2.9411764705882355,21,18:06:00
CEDO3,-1.1583011583011582,12.8,17:32:00
HGTX3,-3.2732732732732734,32.21,18:09:00
RBED11,-3.0898876404494384,172.5,18:05:00
FPAB11,-0.968255913714916,404,13:49:00
OULG11B,-0.11875477139706506,117.75,18:05:00
PABY11,0.6923076923076923,26.18,17:10:00
RBRY11,-1.5466666666666666,110.76,17:43:00
RCRB11,-7.10862952623026,222.93,18:05:00
RBRP11,-1.4422079269558,94.99,18:05:00
SCPF11,1.5718562874251496,13.57,17:52:00
RBVA11,-2.2986403268093407,160.24,18:05:00
RNGO11,-0.18034265103697025,110.7,17:51:00
SDIL11,0.3157894736842105,142.95,18:05:00
TGAR11,0.007127583749109052,140.31,18:00:00
SHPH11,1.4851485148514851,1025,18:05:00
ONEF11,-0.2330737308851117,175.5,18:00:00
NTCO3,0.7230004518752824,44.58,18:07:00
NEOE3,1.0,25.25,18:09:00
MGLU3,-0.6296296296296297,53.66,18:09:00
NFLX34,1.515237986531218,1423,16:01:00
MDIA3,-1.9533231861998985,38.65,18:07:00
NEWL11,0,127,18:05:00
NIKE34,0.9067571068560258,428.44,16:54:00
DMAC11,0.0017793910923681916,562,17:52:00
IRBR3,2.3520853540252182,42.21,18:08:00
MGEL4,0.12062726176115803,8.3,17:38:00
POMO3,-0.7058823529411765,4.22,18:00:00
BOVA11,-1.0060007059654077,112.18,18:19:00
POMO4,-2.1141649048625792,4.63,18:07:00
MALL11,0.3734069323808751,123.65,18:06:00
BOVV11,-1.0400811770674785,117.03,18:17:00
LEVE3,-0.2903225806451613,30.91,18:07:00
BRAX11,-1.1270491803278688,96.5,17:40:00
FIND11,-0.8936407883188383,124.21,17:49:00
IVVB11,1.4163916391639164,147.5,18:18:00
SMAL11,-0.4888268156424581,142.5,18:22:00
LAME4,-1.3275923932543954,27.5,18:07:00
ECOO11,-1.0934393638170974,119.4,16:00:00
DIVO11,-0.8936170212765957,69.87,18:17:00
LAME3,0.5092592592592593,21.71,18:08:00
GOVE11,-0.42718446601941745,51.28,17:06:00
LGCP11,0.8035714285714286,112.9,18:05:00
PIBB11,-0.899535071760663,196.1,18:17:00
ISUS11,-1.0082063305978899,42.22,16:29:00
MATB11,-0.6410256410256411,38.75,17:04:00
LOGN3,-1.245136186770428,25.38,18:08:00
LOGG3,2.4930747922437675,33.3,18:07:00
PMAM3,2.4864864864864864,28.44,18:06:00
PYPL34,0.44051032705813903,241.69,14:39:00
PDGR3,0.7263922518159807,8.32,18:05:00
PATC11,2.448835568101623,145.17,18:05:00
BRDT3,-1.25,28.44,18:07:00
QUAL3,-1.3268156424581006,42.39,18:09:00
PEPB34,2.61697487633198,578.77,16:37:00
QCOM34,0.33014723501690674,376.83,16:53:00
PRSN11B,-4.694835680751174,2.03,18:00:00
PRIO3,0.46217465336901,41.3,18:05:00
PTBL3,1.3793103448275863,5.88,18:05:00
RAPT3,-0.26109660574412535,11.46,18:00:00
QAGR11,-0.8860875125605189,108.5,18:05:00
RADL3,0.2981148619026743,114.39,18:07:00
RAPT4,-1.0302197802197801,14.41,18:09:00
RBRD11,0.4011568243306279,107.62,17:47:00
RBDS11,-0.513225424397947,75.6,17:53:00
RBGS11,-1.9580419580419581,70.1,17:54:00
CPLE3,0.6468305304010349,77.8,18:08:00
FIIP11B,-0.5647535840131294,206,18:00:00
RBCO11,4.339130434782609,119.99,17:41:00
CPLE6,0.2686727565824825,74.64,18:07:00
LCAM3,-1.639344262295082,24,18:07:00
SBSP3,-0.5064531939225617,60.9,18:07:00
SAPR3,3.8349514563106797,21.39,18:06:00
SAPR11,0.07,100.07,18:06:00
CSMG3,1.0032457952198288,68.46,18:09:00
CSNA3,-1.3486176668914363,14.63,18:08:00
SAPR4,-0.8138351983723296,19.5,18:08:00
CTNM4,0.5571030640668524,10.83,18:05:00
CIEL3,-2.937249666221629,7.27,18:07:00
CTNM3,-4.976019184652278,15.85,16:27:00
CSCO34,1.5569888138667742,201.55,16:53:00
CTGP34,0.3312825366777094,339.2,18:00:00
CTSA3,0,6.7,17:15:00
FVPQ11,-0.4605263157894737,226.95,18:00:00
VSHO11,-0.823045267489712,120.5,18:05:00
VTLT11,0.3805668016194332,123.97,17:45:00
FVBI11,1.0098506907874356,163.04,17:44:00
FIVN11,-7.2727272727272725,5.61,17:43:00
PETR3,-2.2306000628338047,31.12,18:09:00
PETR4,-1.5,29.55,18:09:00
XPOM11,0,105,17:14:00
FSTU11,0,0.42,17:33:00
FSPE11,1.7857142857142858,0.57,17:51:00
FSRF11,6.451612903225806,0.33,18:05:00
IBFF11,0.06809338521400778,102.87,17:45:00
PLCR11,-0.63,99.37,17:42:00
CVBI11,0.8029878618113913,107.96,18:05:00
NORD3,0,5,14:39:00
GNDI3,2.763677382966723,72.88,18:09:00
MRFG3,4.841549295774648,11.91,18:07:00
NVDC34,0.498015718621119,258.3,16:53:00
MSCD34,1.9223763051617353,1314.87,16:37:00
AMAR3,-2.3255813953488373,13.86,18:13:00
GOAU3,-0.4250797024442083,9.37,18:05:00
MXRF11,-0.2364066193853428,12.66,18:06:00
MCDC34,2.619680231203095,220.15,16:53:00
GOAU4,0.19704433497536947,10.17,18:07:00
MELI34,1.015359621916999,273.59,15:53:00
MDTC34,1.956323930846224,246.51,16:53:00
MTSA4,-2.610441767068273,24.25,18:05:00
MRCK34,3.657087294727744,383.78,16:53:00
MFII11,-0.08264462809917356,132.99,18:05:00
METB34,2.2956195830405246,218.35,16:53:00
SPXI11,1.486124806310748,144.09,18:19:00
PTNT4,0.7604562737642585,5.3,17:42:00
PHMO34,4.105062724014337,185.89,16:53:00
PFIZ34,2.66602328246577,170.21,18:00:00
PLAS3,10.888610763454318,8.86,18:05:00
PORD11,-0.10222098318000186,107.5,17:50:00
REDE3,0.44642857142857145,9,17:25:00
FRTA3,21.54696132596685,11,17:34:00
RBRF11,2.1623701423624473,132.76,18:05:00
RCSL4,11.742424242424242,2.95,18:07:00
PSSA3,-0.6913504378552773,64.64,18:06:00
DOMC11,-0.4878048780487805,612,17:44:00
RPMG3,0,5.31,18:05:00
RNEW4,-1.6706443914081146,4.12,17:50:00
RCSL3,41.851851851851855,3.83,18:06:00
RNEW3,-0.9523809523809523,5.2,17:50:00
RNEW11,0.22371364653243847,13.44,17:52:00
RDES11,1.96431249062828,68,18:00:00
RBFF11,-1.117117117117117,109.76,17:46:00
LLIS3,6.611078022632519,17.9,18:06:00
RBCB11,5.004468275245755,23.5,18:00:00
RBIV11,-0.4975124378109453,100,17:28:00
RBVO11,0.21160822249093109,33.15,17:53:00
COGN3,-3.4401876465989054,12.35,18:09:00
CMCS34,1.7137466589801373,194.08,18:00:00
COLG34,2.0808254514187445,296.8,16:53:00
CHME34,1.8842085379675104,215.75,16:53:00
COPH34,0.650310375406444,68.1,16:53:00
SPGI34,4.735046776318011,310.11,16:53:00
SSFO34,0.8238493834332339,381.83,16:53:00
SARE11,-3.1978319783197833,107.16,17:50:00
SADI11,0.451050743208611,97.99,17:29:00
SAAG11,-0.007042253521126761,141.99,18:00:00
SCAR3,1.5490196078431373,51.79,18:06:00
SMTO3,-1.9600307455803228,25.51,18:13:00
STBP3,-0.955794504181601,8.29,18:05:00
ARRI11,-2.1056589584508365,104.14,17:39:00
MCCI11,-0.09082652134423251,110,18:00:00
FHER3,10.051546391752577,4.27,18:07:00
CRIV4,2.0437956204379564,6.99,11:44:00
CRIV3,0.16181229773462782,6.19,15:41:00
IRDM11,-3.6178714130039955,132.67,18:05:00
PLRI11,-0.875,55.51,18:06:00
BEEF3,-0.3460207612456747,14.4,18:06:00
FLRY3,-0.7310870947234583,31.23,18:07:00
MSFT34,1.877163662408977,682.74,16:37:00
MRVE3,-1.5873015873015872,21.7,18:07:00
FPOR11,8.225108225108226,5,17:33:00
MMXM3,-1.7777777777777777,2.21,17:53:00
MNPR3,-2.644628099173554,5.89,18:00:00
MILS3,-2.41635687732342,10.5,18:06:00
MDLZ34,1.46423216018347,115.03,16:53:00
MOVI3,-0.14527845036319612,20.62,18:07:00
PSVM11,12.666666666666666,3.38,17:52:00
POSI3,-1.0080645161290323,9.82,18:06:00
PPLA11,11.607142857142858,1.25,18:07:00
PFRM3,3.857142857142857,7.27,18:06:00
PGCO34,1.875904660812506,527.87,18:00:00
GEPA4,-1.478123768230193,49.99,16:34:00
RIOT34,1.8518518518518519,245.85,16:54:00
RAIL3,-3.2170542635658914,24.97,18:07:00
BRGE3,-5.734144222415291,10.85,18:00:00
BRGE12,-5.741626794258373,5.91,18:10:00
RSID3,-0.21551724137931033,9.26,18:05:00
RDSA34,0.8275580921320832,247.33,16:53:00
RDNI3,-0.5576208178438662,16.05,18:00:00
CSAN3,-1.6427370327253912,76.04,18:07:00
CPRE3,0,19.28,13:21:00
COWC34,1.3396019836413988,314.7,16:37:00
TEND3,1.0318142734307825,35.25,18:13:00
CPFE3,0.7305422871593145,35.85,18:06:00
RLOG3,-2.4892703862660945,22.72,18:06:00
CRDE3,-0.3276209677419355,39.55,17:13:00
GRLV11,-2.9266857857195383,132.01,18:06:00
HGFF11,1.9122120817036072,117.25,18:06:00
SLED4,1.4423076923076923,2.11,18:13:00
HGPO11,0.12113055181695828,223.17,17:34:00
SLED3,-1.2315270935960592,4.01,17:47:00
HGLG11,-0.46069103655483223,198.78,18:05:00
SAPP34,0.9916282008529758,575.42,16:53:00
SLBG34,-1.5333862789419024,161.18,16:53:00
SDIP11,-1.2880458756065285,111.89,18:05:00
SHUL4,0.6283662477558348,11.21,18:00:00
SEER3,-2.9392117568470275,29.06,18:06:00
SIMN34,2.6755852842809364,153.5,13:18:00
WPLZ11,0.774635200864709,111.88,17:46:00
REIT11,0,1263.6,15:41:00
SMLS3,-2.4700415749572024,39.88,18:07:00
SQIA3,6.36,26.59,18:06:00
SLCE3,-1.5860105734038228,24.2,18:06:00
MULT3,-0.08823529411764706,33.97,18:09:00
SNEC34,3.833321748801001,298.77,16:54:00
MNDL3,1.3424657534246576,36.99,10:12:00
FRAS3,0.14326647564469913,6.99,18:06:00
KFOF11,-4.840312278211497,134.08,18:09:00
OUCY11,-0.0970873786407767,102.9,18:06:00
DRIT11B,-0.12918379330593072,170.08,18:00:00
TAKP34,2.3086269744835968,84.2,16:53:00
TASA3,3.7549407114624507,5.25,17:54:00
TSMC34,1.0555186170212767,243.18,16:54:00
SHOW3,3.4035656401944894,6.38,18:06:00
TASA4,4.940374787052811,6.16,18:05:00
TGTB34,-4.907117388649213,482.72,16:54:00
TRPL3,-3.8581856100104277,27.66,17:41:00
TECN3,1.7857142857142858,3.42,18:06:00
HGRE11,-0.40796736261099115,207.5,18:07:00
CVCB3,-2.611764705882353,41.39,18:07:00
TCSA3,-1.0309278350515463,1.92,18:09:00
HGCR11,-1.2450748620961387,125.32,18:07:00
CARD3,-4.492753623188406,13.18,18:06:00
TRPL4,0.044722719141323794,22.37,18:07:00
CYRE3,-1.5384615384615385,32,18:07:00
CVSH34,6.053090226571927,158.21,17:01:00
HGRU11,-0.14738393515106854,135.5,18:05:00
SPRI5,-0.0975609756097561,10.24,12:26:00
SPRI3,0.21715526601520088,9.23,14:31:00
SPTW11,-0.1585120997569481,94.48,18:06:00
CCPR3,-0.5100039231071009,25.36,18:06:00
SBUB34,1.5503259659723327,383.19,16:37:00
SGPS3,-0.35714285714285715,13.95,18:06:00
SULA3,4.3789808917197455,26.22,16:27:00
SULA4,3.3713974986405657,19.01,15:02:00
TELB4,-1.6129032258064515,27.45,18:05:00
TELB3,0.49989585503020206,96.5,18:05:00
TEKA3,-3.0303030303030303,9.6,17:50:00
TEKA4,-3.1847133757961785,7.6,18:06:00
SUZB3,1.5593220338983051,44.94,18:08:00
SULA11,-1.6928094424600093,63.3,18:09:00
VIVT3,0.09444654325651682,52.99,18:09:00
TCNO3,-5.9405940594059405,3.8,18:05:00
TGMA3,-0.24813895781637718,40.2,18:13:00
TCNO4,-3.6036036036036037,2.14,18:05:00
VIVT4,-0.58169375534645,58.11,18:07:00
HOME34,2.1567311231891906,471.77,16:53:00
TSLA34,-2.1175422974176312,549.61,16:54:00
TESA3,-2.9411764705882355,23.1,18:05:00
TEXA34,1.0108504126866364,544.6,16:53:00
SCHW34,-0.9794612962870421,198.15,16:53:00
BOEI34,1.856374824887598,1388.72,16:53:00
COCA34,1.8286154768532397,237.78,17:12:00
TAEE3,1.07421875,10.35,17:22:00
TAEE4,0.6869479882237488,10.26,18:05:00
TAEE11,-0.32456994482310936,30.71,18:07:00
KHCB34,2.872670807453416,132.5,17:08:00
DISB34,1.6724866752435215,608.52,16:53:00
TIMP3,0.06097560975609756,16.41,18:07:00
TMOS34,2.3573416840640222,353.01,16:53:00
ITUB3,-1.4341590612777053,30.24,18:08:00
ITUB4,-1.226468910439247,34.63,18:07:00
TJXC34,0.19222636576832877,260.61,16:53:00
TOTS3,0.2440775305096913,69.82,18:07:00
LUXM4,-1.7857142857142858,27.5,12:14:00
CRPG6,1.763409257898604,27.7,17:48:00
TRIS3,1.1411411411411412,16.84,18:06:00
CRPG5,2.4981631153563555,27.9,18:06:00
TUPY3,-1.270078446021666,26.43,18:07:00
XTED11,-3.8181818181818183,15.87,18:00:00
BBAS3,-1.8344965104685942,49.23,18:09:00
LREN3,-0.659378795766094,57.25,18:07:00
ITSA3,-1.4545454545454546,13.55,18:05:00
TWTR34,3.730017761989343,70.08,14:39:00
BONY34,1.0277540968078052,213.31,16:53:00
ITSA4,-1.608187134502924,13.46,18:09:00
GGBR3,0.2717391304347826,18.45,18:05:00
BMYB34,2.307468336002329,281.1,16:53:00
BOAC34,-1.0183160196828869,144.83,18:00:00
EXXO34,0.9472071319125226,72.47,18:00:00
GGBR4,-1.4939309056956116,21.1,18:08:00
ETER3,-4.827586206896552,6.9,18:06:00
EZTC3,0.7835625979453248,57.88,18:09:00
GUAR3,0.10783608914450037,27.85,18:07:00
